Germany-2018,Export,Manufactures,Poland,61470525.36
Germany-2018,Export,Manufactures,Austria,57658634.65
Germany-2018,Export,Manufactures,Switzerland,54738622.92
Germany-2018,Export,Manufactures,Spain,45512461.91
Germany-2018,Export,Ores and Metals,United States,3575773.04
Germany-2018,Export,Ores and Metals,Italy,3498759.8
Germany-2018,Export,Ores and Metals,Belgium,3043304.14
Germany-2018,Export,Ores and Metals,United Kingdom,3021076.71
Germany-2018,Export,Ores and Metals,Austria,2958947.79
Germany-2018,Export,Ores and Metals,France,2859843.79
Germany-2018,Export,Ores and Metals,Netherlands,2809458.05
Germany-2018,Export,Ores and Metals,Poland,2288268.2
Germany-2018,Export,Ores and Metals,Switzerland,1948532.59
Germany-2018,Export,Ores and Metals,China,1588605.47
Germany-2018,Export,Textiles,Switzerland,4493905.99
Germany-2018,Export,Textiles,Poland,4292878.55
Germany-2018,Export,Textiles,Austria,4110776.23
Germany-2018,Export,Textiles,France,3497460.71
Germany-2018,Export,Textiles,Netherlands,3224930.83
Germany-2018,Export,Textiles,Italy,2111260.67
Germany-2018,Export,Textiles,United Kingdom,1907141.05
Germany-2018,Export,Textiles,Belgium,1541861.01
Germany-2018,Export,Textiles,Czech Republic,1505065.25
Germany-2018,Export,Textiles,Spain,1412290.96
Germany-2018,Export,Machinery and Transport Equipment,United States,77780540.82
Germany-2018,Export,Machinery and Transport Equipment,China,76572514.11
Germany-2018,Export,Machinery and Transport Equipment,France,59492488.87
Germany-2018,Export,Machinery and Transport Equipment,United Kingdom,53366598.76
Germany-2018,Export,Machinery and Transport Equipment,Italy,35353675.76
Germany-2018,Export,Machinery and Transport Equipment,Netherlands,31503615.18
Germany-2018,Export,Machinery and Transport Equipment,Austria,28402222.99
Germany-2018,Export,Machinery and Transport Equipment,Poland,28182655.7
Germany-2018,Export,Machinery and Transport Equipment,Spain,26194320.82
Germany-2018,Export,Machinery and Transport Equipment,Czech Republic,25249810.21
Germany-2018,Export,Raw materials,Netherlands,5796951.35
Germany-2018,Export,Raw materials,Italy,3492920.22
Germany-2018,Export,Raw materials,Austria,3120131.44
Germany-2018,Export,Raw materials,France,2741628.22
Germany-2018,Export,Raw materials,Belgium,2696394.67
Germany-2018,Export,Raw materials,Poland,2341091.52
Germany-2018,Export,Raw materials,China,1649552.81
Germany-2018,Export,Raw materials,United Kingdom,1411384.1
Germany-2018,Export,Raw materials,Switzerland,1230521.5
Germany-2018,Export,Raw materials,United States,1196973.58
Germany-2018,Export,Intermediate goods,France,29001761.2
Germany-2018,Export,Intermediate goods,Netherlands,26500047.79
Germany-2018,Export,Intermediate goods,United States,20695398.66
Germany-2018,Export,Intermediate goods,Italy,19403046.38
Germany-2018,Export,Intermediate goods,Poland,17608059.81
Germany-2018,Export,Intermediate goods,United Kingdom,16286485.54
Germany-2018,Export,Intermediate goods,Switzerland,14840340.19
